Type,AISC_Manual_Label,A
HSS,HSS508X12.7,18400
HSS,HSS508X9.5,13900
HSS,HSS457.2X12.7,16500
HSS,HSS457.2X9.5,12500
HSS,HSS406.4X15.9,18100
HSS,HSS406.4X12.7,14600
HSS,HSS406.4X11.1,12800
HSS,HSS406.4X9.5,11100
HSS,HSS406.4X7.9,9290
HSS,HSS406.4X6.4,7420
HSS,HSS355.6X15.9,15800
HSS,HSS355.6X12.7,12800
HSS,HSS355.6X9.5,9680
HSS,HSS355.6X7.9,8060
HSS,HSS355.6X6.4,6520
HSS,HSS323.9X12.7,11500
HSS,HSS323.9X9.5,8770
HSS,HSS323.9X6.4,5910
HSS,HSS273.1X12.7,9680
HSS,HSS273.1X9.5,7350
HSS,HSS273.1X6.4,4970
HSS,HSS254X15.9,11100
HSS,HSS254X12.7,8970
HSS,HSS254X9.5,6840
HSS,HSS254X7.9,5730
HSS,HSS254X6.4,4610
HSS,HSS254X4.8,3460
HSS,HSS244.5X12.7,8650
HSS,HSS244.5X9.5,6580
HSS,HSS244.5X7.9,5500
HSS,HSS244.5X6.4,4430
HSS,HSS244.5X4.8,3340
HSS,HSS219.1X15.9,9480
HSS,HSS219.1X12.7,7680
HSS,HSS219.1X9.5,5850
HSS,HSS219.1X8.2,5060
HSS,HSS219.1X6.4,3960
HSS,HSS219.1X4.8,2980
HSS,HSS193.7X9.5,5150
HSS,HSS193.7X8.3,4520
HSS,HSS190.5X12.7,6650
HSS,HSS190.5X9.5,5060
HSS,HSS190.5X7.9,4250
HSS,HSS190.5X6.4,3430
HSS,HSS190.5X4.8,2580
HSS,HSS177.8X12.7,6160
HSS,HSS177.8X9.5,4700
HSS,HSS177.8X7.9,3950
HSS,HSS177.8X6.4,3190
HSS,HSS177.8X4.8,2410
HSS,HSS177.8X3.2,1620
HSS,HSS174.6X12.7,6040
HSS,HSS174.6X9.5,4620
HSS,HSS174.6X7.9,3880
HSS,HSS174.6X6.4,3140
HSS,HSS174.6X4.8,2360
HSS,HSS168.3X12.7,5810
HSS,HSS168.3X11,5070
HSS,HSS168.3X9.5,4440
HSS,HSS168.3X7.9,3740
HSS,HSS168.3X7.1,3350
HSS,HSS168.3X6.4,3020
HSS,HSS168.3X4.8,2280
HSS,HSS168.3X3.2,1530
HSS,HSS152.4X12.7,5220
HSS,HSS152.4X9.5,4000
HSS,HSS152.4X7.9,3370
HSS,HSS152.4X7.1,3030
HSS,HSS152.4X6.4,2720
HSS,HSS152.4X4.8,2050
HSS,HSS152.4X3.2,1380
HSS,HSS141.3X12.7,4810
HSS,HSS141.3X9.5,3690
HSS,HSS141.3X6.6,2590
HSS,HSS141.3X4.8,1900
HSS,HSS141.3X3.4,1370
HSS,HSS139.7X12.7,4750
HSS,HSS139.7X9.5,3650
