Type,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB,Unnamed: 76,D/t,Compression,Flexure,unit_price
HSS,HSS508X12.7,155.0,18400,–,–,–,–,508.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,566.0,2900.0,2230.0,176.0,566.0,2900.0,2230.0,176.0,–,–,–,1130000,–,4460.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,43.0,NS,NC,2950
HSS,HSS508X9.5,117.0,13900,–,–,–,–,508.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,433.0,2210.0,1700.0,177.0,433.0,2210.0,1700.0,177.0,–,–,–,866000,–,3410.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,57.3,NS,NC,2950
HSS,HSS457.2X12.7,139.0,16500,–,–,–,–,457.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,410.0,2340.0,1790.0,157.0,410.0,2340.0,1790.0,157.0,–,–,–,820000,–,3590.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,38.7,NS,C,2950
HSS,HSS457.2X9.5,105.0,12500,–,–,–,–,457.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,314.0,1790.0,1370.0,158.0,314.0,1790.0,1370.0,158.0,–,–,–,629000,–,2750.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,51.6,NS,NC,2950
HSS,HSS406.4X15.9,153.0,18100,–,–,–,–,406.0,–,–,–,–,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,–,–,349.0,2260.0,1720.0,139.0,349.0,2260.0,1720.0,139.0,–,–,–,699000,–,3420.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,27.5,NS,C,2950
HSS,HSS406.4X12.7,123.0,14600,–,–,–,–,406.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,285.0,1840.0,1400.0,139.0,285.0,1840.0,1400.0,139.0,–,–,–,570000,–,2800.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,34.4,NS,C,2950
HSS,HSS406.4X11.1,108.0,12800,–,–,–,–,406.0,–,–,–,–,–,–,–,–,–,–,–,11.1,10.3,–,–,–,–,–,–,–,–,–,–,–,–,–,252.0,1620.0,1240.0,140.0,252.0,1620.0,1240.0,140.0,–,–,–,504000,–,2490.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,39.3,NS,C,2950
HSS,HSS406.4X9.5,93.2,11100,–,–,–,–,406.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,219.0,1400.0,1080.0,140.0,219.0,1400.0,1080.0,140.0,–,–,–,437000,–,2150.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,45.8,NS,NC,2950
HSS,HSS406.4X7.9,77.9,9290,–,–,–,–,406.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,184.0,1180.0,908.0,141.0,184.0,1180.0,908.0,141.0,–,–,–,369000,–,1820.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,55.0,NS,NC,2950
HSS,HSS406.4X6.4,62.6,7420,–,–,–,–,406.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,149.0,949.0,734.0,142.0,149.0,949.0,734.0,142.0,–,–,–,298000,–,1470.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,68.7,S,NC,2950
HSS,HSS355.6X15.9,133.0,15800,–,–,–,–,356.0,–,–,–,–,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,–,–,230.0,1720.0,1290.0,121.0,230.0,1720.0,1290.0,121.0,–,–,–,458000,–,2590.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,24.1,NS,C,2950
HSS,HSS355.6X12.7,107.0,12800,–,–,–,–,356.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,189.0,1400.0,1060.0,122.0,189.0,1400.0,1060.0,122.0,–,–,–,378000,–,2130.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,30.1,NS,C,2950
HSS,HSS355.6X9.5,81.3,9680,–,–,–,–,356.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,145.0,1070.0,816.0,123.0,145.0,1070.0,816.0,123.0,–,–,–,291000,–,1640.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,40.1,NS,C,2950
HSS,HSS355.6X7.9,67.9,8060,–,–,–,–,356.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,123.0,896.0,690.0,123.0,123.0,896.0,690.0,123.0,–,–,–,245000,–,1380.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,48.1,NS,NC,2950
HSS,HSS355.6X6.4,54.7,6520,–,–,–,–,356.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,99.5,724.0,559.0,124.0,99.5,724.0,559.0,124.0,–,–,–,199000,–,1120.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,60.1,NS,NC,2950
HSS,HSS323.9X12.7,97.4,11500,–,–,–,–,324.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,141.0,1150.0,872.0,110.0,141.0,1150.0,872.0,110.0,–,–,–,282000,–,1740.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,27.4,NS,C,2950
HSS,HSS323.9X9.5,73.8,8770,–,–,–,–,324.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,109.0,880.0,672.0,112.0,109.0,880.0,672.0,112.0,–,–,–,218000,–,1350.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,36.5,NS,C,2950
HSS,HSS323.9X6.4,49.7,5910,–,–,–,–,324.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,74.9,598.0,462.0,113.0,74.9,598.0,462.0,113.0,–,–,–,149000,–,923.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,54.7,NS,NC,2950
HSS,HSS273.1X12.7,81.5,9680,–,–,–,–,273.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,82.8,806.0,606.0,92.5,82.8,806.0,606.0,92.5,–,–,–,166000,–,1210.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,23.1,NS,C,2950
HSS,HSS273.1X9.5,61.9,7350,–,–,–,–,273.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,64.1,619.0,470.0,93.5,64.1,619.0,470.0,93.5,–,–,–,129000,–,941.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,30.8,NS,C,2950
HSS,HSS273.1X6.4,41.8,4970,–,–,–,–,273.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,44.1,423.0,324.0,94.5,44.1,423.0,324.0,94.5,–,–,–,88700,–,649.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,46.1,NS,NC,2950
HSS,HSS254X15.9,93.2,11100,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,–,–,79.5,846.0,628.0,84.8,79.5,846.0,628.0,84.8,–,–,–,159000,–,1260.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,17.2,NS,C,2950
HSS,HSS254X12.7,75.6,8970,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,66.2,693.0,519.0,85.9,66.2,693.0,519.0,85.9,–,–,–,132000,–,1040.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,21.5,NS,C,2950
