member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?,orientation
BE01,P01,P17,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE02,P17,P03,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE03,P03,P05,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE04,P08,P07,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE05,P07,P06,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE06,P06,P04,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE07,P09,P10,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE08,P10,P11,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE09,P11,P12,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE10,P13,P14,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE11,P14,P15,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE12,P15,P16,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE13,P05,P02,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE14,P02,P18,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE15,P18,P19,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE16,P04,P20,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE17,P20,P21,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE18,P21,P22,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE19,P12,P23,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE20,P23,P24,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE21,P24,P25,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE22,P16,P26,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE23,P26,P27,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BE24,P27,P28,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR01,P01,P07,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR02,P17,P08,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR03,P08,P10,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR04,P07,P09,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR05,P09,P14,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR06,P10,P13,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR07,P17,P06,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR08,P03,P07,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR09,P07,P11,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR10,P06,P10,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR11,P10,P15,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR12,P11,P14,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR13,P03,P04,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
