Type,AISC_Manual_Label [Imperial],AISC_Manual_Label [metric],W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,h/tw.1,D/t.1,Ix / 107,Zx / 104,Sx / 104,rx.1,Iy / 107,Zy / 104,Sy / 104,b/tdes,h/tdes.1,Compression,Flange Flexure,Web Flexure,unit_price
HSS,HSS16X16X5/8,HSS406.4X406.4X15.9,189.0,22600,–,–,406.0,363.0,–,–,–,406.0,363.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,24.6,–,570.0,3280.0,2800.0,159.0,570.0,3280.0,2800.0,159.0,–,–,–,903000,–,4520.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1518.714286,1477.9285710000001,1437.142857,1396.357143,1355.5714289999999,1314.785714,1274.0,24.6,25.6,NS,C,C,2950
HSS,HSS16X16X1/2,HSS406.4X406.4X12.7,153.0,18300,–,–,406.0,371.0,–,–,–,406.0,371.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,31.4,–,470.0,2690.0,2310.0,160.0,470.0,2690.0,2310.0,160.0,–,–,–,737000,–,3670.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1267.142857,1235.952381,1204.761905,1173.5714289999999,1142.380952,1111.190476,1080.0,31.4,32.4,NS,NC,C,2950
HSS,HSS16X16X3/8,HSS406.4X406.4X9.5,117.0,13900,–,–,406.0,381.0,–,–,–,406.0,381.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,43.0,–,363.0,2060.0,1790.0,162.0,363.0,2060.0,1790.0,162.0,–,–,–,562000,–,2800.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1000.2142859999999,979.4285714,958.6428571,937.8571429,917.0714286,896.2857142999999,875.5,43.0,44.0,S,S,C,2950
HSS,HSS16X16X5/16,HSS406.4X406.4X7.9,97.9,11700,–,–,406.0,384.0,–,–,–,406.0,384.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,51.9,–,308.0,1740.0,1510.0,162.0,308.0,1740.0,1510.0,162.0,–,–,–,475000,–,2360.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,858.4285714,842.5238095000001,826.6190475999999,810.7142857000001,794.8095238,778.9047619,763.0,51.9,52.9,S,S,C,2950
HSS,HSS14X14X5/8,HSS355.6X355.6X15.9,164.0,19500,–,–,356.0,312.0,–,–,–,356.0,312.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,21.2,–,373.0,2470.0,2100.0,138.0,373.0,2470.0,2100.0,138.0,–,–,–,595000,–,3410.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1155.0714289999999,1129.47619,1103.880952,1078.285714,1052.690476,1027.095238,1001.5,21.2,22.2,NS,C,C,2950
HSS,HSS14X14X1/2,HSS355.6X355.6X12.7,133.0,15900,–,–,356.0,320.0,–,–,–,356.0,320.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,27.1,–,309.0,2030.0,1740.0,139.0,309.0,2030.0,1740.0,139.0,–,–,–,487000,–,2790.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,968.7857142999999,949.7380952,930.6904762,911.6428571,892.5952381000001,873.5476189999999,854.5,27.1,28.1,NS,NC,C,2950
HSS,HSS14X14X3/8,HSS355.6X355.6X9.5,102.0,12100,–,–,356.0,330.0,–,–,–,356.0,330.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,37.2,–,240.0,1560.0,1350.0,141.0,240.0,1560.0,1350.0,141.0,–,–,–,375000,–,2130.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,768.4285714,756.3571429,744.2857142999999,732.2142857000001,720.1428571,708.0714286,696.0,37.2,38.2,S,S,C,2950
HSS,HSS14X14X5/16,HSS355.6X355.6X7.9,85.3,10100,–,–,356.0,333.0,–,–,–,356.0,333.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,45.0,–,204.0,1320.0,1150.0,142.0,204.0,1320.0,1150.0,142.0,–,–,–,316000,–,1790.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,665.8571429,657.3809524000001,648.9047619,640.4285714,631.952381,623.4761905,615.0,45.0,46.0,S,S,C,2950
HSS,HSS12X12X5/8,HSS304.8X304.8X15.9,139.0,16600,–,–,305.0,262.0,–,–,–,305.0,262.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,17.7,–,228.0,1790.0,1500.0,117.0,228.0,1790.0,1500.0,117.0,–,–,–,368000,–,2470.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,842.0,827.1666667000001,812.3333332999999,797.5,782.6666667000001,767.8333332999999,753.0,17.7,18.7,NS,C,C,2950
HSS,HSS12X12X1/2,HSS304.8X304.8X12.7,113.0,13500,–,–,305.0,269.0,–,–,–,305.0,269.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,22.8,–,190.0,1470.0,1250.0,119.0,190.0,1470.0,1250.0,119.0,–,–,–,303000,–,2020.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,710.8571429,700.547619,690.2380952000001,679.9285714,669.6190475999999,659.3095238,649.0,22.8,23.8,NS,C,C,2950
