Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB,Unnamed: 77,b/t,h/t,Flange Compression,Web Compression,Flange Flexure,Web Flexure,unit_price
W,W44X335,W1100X499,499.0,63500,1120,1120,–,–,–,404,406,–,–,–,26.2,25.4,12.7,45.0,44.4,–,–,–,65.0,66.7,33.3,–,–,–,–,–,4.5,–,38.0,–,–,12900.0,26500.0,23100.0,452.0,499.0,3870.0,2460.0,88.6,–,–,–,31100.0,144000.0,–,108000,491.0,–,–,4560.0,13200.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108.0,1070,3350,3760,,4.5,38.0,NS,S,C,C,2950
W,W44X290,W1100X433,433.0,55100,1110,1110,–,–,–,401,403,–,–,–,22.0,22.2,11.1,40.1,39.7,–,–,–,59.9,61.9,31.8,–,–,–,–,–,5.02,–,45.0,–,–,11200.0,23100.0,20300.0,452.0,433.0,3360.0,2160.0,88.6,–,–,–,21200.0,124000.0,–,107000,433.0,–,–,4060.0,11500.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107.0,1070,3330,3730,,5.02,45.0,NS,S,C,C,2950
W,W44X262,W1100X390,390.0,49800,1100,1100,–,–,–,401,400,–,–,–,19.9,20.6,11.1,36.1,36.5,–,–,–,55.9,57.2,30.2,–,–,–,–,–,5.57,–,49.6,–,–,10000.0,20800.0,18200.0,450.0,384.0,2980.0,1920.0,88.1,–,–,–,15500.0,109000.0,–,106000,386.0,–,–,3650.0,10300.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106.0,1060,3330,3730,,5.57,49.6,NS,S,C,C,2950
W,W44X230,W1100X343,343.0,43700,1090,1090,–,–,–,401,400,–,–,–,18.0,17.5,9.52,31.0,31.8,–,–,–,51.1,52.4,30.2,–,–,–,–,–,6.45,–,54.8,–,–,8660.0,18000.0,15900.0,445.0,331.0,2570.0,1660.0,87.1,–,–,–,10400.0,92900.0,–,106000,330.0,–,–,3150.0,8960.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105.0,1060,3300,3710,,6.45,54.8,NS,S,C,C,2950
W,W40X593,W1000X883,883.0,112000,1090,1090,–,–,–,424,425,–,–,–,45.5,46.0,23.8,82.0,82.6,–,–,–,112.0,114.0,54.0,–,–,–,–,–,2.58,–,19.1,–,–,21000.0,45200.0,38300.0,432.0,1050.0,7880.0,4950.0,96.5,–,–,–,185000.0,268000.0,–,107000,932.0,–,–,7850.0,22500.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,118.0,1010,3300,3730,,2.58,19.1,NS,NS,C,C,2950
W,W40X503,W1000X748,748.0,95500,1070,1070,–,–,–,417,416,–,–,–,39.1,39.7,20.6,70.1,69.8,–,–,–,100.0,102.0,50.8,–,–,–,–,–,2.98,–,22.3,–,–,17300.0,38000.0,32400.0,427.0,849.0,6460.0,4080.0,94.5,–,–,–,115000.0,212000.0,–,104000,762.0,–,–,6600.0,18800.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,114.0,998,3280,3680,,2.98,22.3,NS,NS,C,C,2950
W,W40X431,W1000X642,642.0,81900,1050,1050,–,–,–,411,413,–,–,–,34.0,33.3,17.5,59.9,60.3,–,–,–,89.9,92.1,47.6,–,–,–,–,–,3.44,–,25.5,–,–,14500.0,32100.0,27700.0,422.0,703.0,5370.0,3410.0,92.7,–,–,–,73700.0,171000.0,–,102000,629.0,–,–,5590.0,15900.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112.0,988,3230,3630,,3.44,25.5,NS,NS,C,C,2950
W,W40X397,W1000X591,591.0,75500,1040,1040,–,–,–,409,410,–,–,–,31.0,31.8,15.9,55.9,55.6,–,–,–,85.9,88.9,46.0,–,–,–,–,–,3.66,–,28.0,–,–,13300.0,29500.0,25600.0,422.0,641.0,4920.0,3130.0,92.5,–,–,–,59100.0,155000.0,–,101000,574.0,–,–,5210.0,14600.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,111.0,986,3200,3610,,3.66,28.0,NS,NS,C,C,2950
W,W40X372,W1000X554,554.0,71000,1030,1030,–,–,–,409,410,–,–,–,29.5,30.2,15.9,52.1,52.4,–,–,–,82.0,84.1,46.0,–,–,–,–,–,3.93,–,29.5,–,–,12300.0,27500.0,23900.0,419.0,591.0,4540.0,2900.0,91.4,–,–,–,48300.0,142000.0,–,100000,533.0,–,–,4830.0,13600.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110.0,980,3180,3580,,3.93,29.5,NS,NS,C,C,2950
W,W40X362,W1000X539,539.0,68400,1030,1030,–,–,–,406,406,–,–,–,28.4,28.6,14.3,51.1,50.8,–,–,–,81.0,82.6,44.5,–,–,–,–,–,3.99,–,30.5,–,–,12000.0,26900.0,23300.0,419.0,574.0,4420.0,2830.0,91.4,–,–,–,45400.0,138000.0,–,99400,516.0,–,–,4740.0,13200.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110.0,980,3180,3580,,3.99,30.5,NS,NS,C,C,2950
W,W40X324,W1000X483,483.0,61500,1020,1020,–,–,–,404,403,–,–,–,25.4,25.4,12.7,46.0,46.0,–,–,–,75.9,77.8,42.9,–,–,–,–,–,4.4,–,34.2,–,–,10700.0,23900.0,21000.0,417.0,508.0,3920.0,2510.0,90.9,–,–,–,33000.0,120000.0,–,98700,458.0,–,–,4240.0,11800.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108.0,975,3150,3560,,4.4,34.2,NS,NS,C,C,2950
W,W40X297,W1000X443,443.0,56300,1010,1010,–,–,–,401,403,–,–,–,23.6,23.8,12.7,41.9,41.3,–,–,–,71.9,74.6,42.9,–,–,–,–,–,4.8,–,36.8,–,–,9660.0,21800.0,19200.0,414.0,454.0,3520.0,2260.0,89.9,–,–,–,25500.0,107000.0,–,97400,409.0,–,–,3830.0,10700.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107.0,970,3120,3530,,4.8,36.8,NS,S,C,C,2950
W,W40X277,W1000X412,412.0,52600,1010,1010,–,–,–,401,403,–,–,–,21.1,20.6,11.1,40.1,39.7,–,–,–,70.1,73.0,41.3,–,–,–,–,–,5.03,–,41.2,–,–,9120.0,20500.0,18000.0,417.0,433.0,3340.0,2160.0,90.9,–,–,–,21400.0,102000.0,–,97400,391.0,–,–,3690.0,10100.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108.0,968,3120,3530,,5.03,41.2,NS,S,C,C,2950
W,W40X249,W1000X371,371.0,47400,1000,1000,–,–,–,401,400,–,–,–,19.1,19.0,9.52,36.1,36.5,–,–,–,66.0,68.3,39.7,–,–,–,–,–,5.55,–,45.6,–,–,8160.0,18400.0,16300.0,414.0,385.0,2980.0,1930.0,90.2,–,–,–,15900.0,89700.0,–,96800,350.0,–,–,3330.0,9030.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107.0,965,3100,3510,,5.55,45.6,NS,S,C,C,2950
W,W40X215,W1000X321,321.0,41000,991,991,–,–,–,401,400,–,–,–,16.5,15.9,7.94,31.0,31.8,–,–,–,61.0,63.5,39.7,–,–,–,–,–,6.45,–,52.6,–,–,6950.0,15800.0,14100.0,411.0,334.0,2560.0,1660.0,89.9,–,–,–,10300.0,76300.0,–,96100,299.0,–,–,2870.0,7750.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106.0,960,3100,3510,,6.45,52.6,NS,S,C,C,2950
W,W40X199,W1000X296,296.0,37900,983,981,–,–,–,401,400,–,–,–,16.5,15.9,7.94,27.2,27.0,–,–,–,57.2,58.7,39.7,–,–,–,–,–,7.39,–,52.6,–,–,6200.0,14200.0,12600.0,406.0,289.0,2250.0,1450.0,87.6,–,–,–,7620.0,66100.0,–,96100,261.0,–,–,2510.0,7000.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105.0,955,3070,3480,,7.39,52.6,NS,S,C,C,2950
W,W40X392,W1000X584,584.0,74800,1060,1060,–,–,–,315,314,–,–,–,36.1,36.5,19.0,64.0,63.5,–,–,–,94.0,96.8,49.2,–,–,–,–,–,2.45,–,24.1,–,–,12400.0,28000.0,23600.0,409.0,334.0,3470.0,2130.0,67.1,–,–,–,71600.0,82200.0,–,78100,394.0,–,–,4420.0,13900.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,83.8,993,2950,3250,,2.45,24.1,NS,NS,C,C,2950
W,W40X331,W1000X494,494.0,63000,1040,1040,–,–,–,310,308,–,–,–,31.0,31.8,15.9,54.1,54.0,–,–,–,84.1,85.7,46.0,–,–,–,–,–,2.86,–,28.0,–,–,10300.0,23400.0,19800.0,404.0,268.0,2820.0,1740.0,65.3,–,–,–,43700.0,64700.0,–,76100,319.0,–,–,3700.0,11600.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,983,2900,3200,,2.86,28.0,NS,NS,C,C,2950
W,W40X327,W1000X486,486.0,61900,1040,1040,–,–,–,307,308,–,–,–,30.0,30.2,15.9,54.1,54.0,–,–,–,84.1,85.7,46.0,–,–,–,–,–,2.85,–,29.0,–,–,10200.0,23100.0,19700.0,406.0,266.0,2790.0,1720.0,65.5,–,–,–,42900.0,64200.0,–,75500,314.0,–,–,3690.0,11400.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,983,2900,3200,,2.85,29.0,NS,NS,C,C,2950
W,W40X294,W1000X438,438.0,55600,1030,1030,–,–,–,305,305,–,–,–,26.9,27.0,14.3,49.0,49.2,–,–,–,79.0,81.0,44.5,–,–,–,–,–,3.11,–,32.2,–,–,9120.0,20800.0,17700.0,404.0,234.0,2460.0,1530.0,64.8,–,–,–,31900.0,55900.0,–,74200,278.0,–,–,3330.0,10200.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80.3,978,2870,3180,,3.11,32.2,NS,NS,C,C,2950
W,W40X278,W1000X415,415.0,53100,1020,1020,–,–,–,305,305,–,–,–,26.2,25.4,12.7,46.0,46.0,–,–,–,75.9,77.8,44.5,–,–,–,–,–,3.31,–,33.3,–,–,8530.0,19500.0,16700.0,401.0,217.0,2290.0,1430.0,64.0,–,–,–,27100.0,51600.0,–,74200,259.0,–,–,3110.0,9620.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.5,975,2840,3150,,3.31,33.3,NS,NS,C,C,2950
W,W40X264,W1000X393,393.0,49900,1020,1020,–,–,–,302,302,–,–,–,24.4,23.8,12.7,43.9,44.4,–,–,–,73.9,76.2,42.9,–,–,–,–,–,3.45,–,35.6,–,–,8070.0,18500.0,15900.0,401.0,205.0,2160.0,1350.0,64.0,–,–,–,23400.0,48600.0,–,73500,245.0,–,–,2980.0,9090.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.2,973,2840,3150,,3.45,35.6,NS,NS,C,C,2950
W,W40X235,W1000X350,350.0,44600,1010,1010,–,–,–,302,302,–,–,–,21.1,20.6,11.1,40.1,39.7,–,–,–,70.1,73.0,41.3,–,–,–,–,–,3.77,–,41.2,–,–,7240.0,16600.0,14300.0,404.0,185.0,1930.0,1220.0,64.5,–,–,–,17200.0,43200.0,–,72900,221.0,–,–,2720.0,8110.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.0,968,2820,3120,,3.77,41.2,NS,S,C,C,2950
W,W40X211,W1000X314,314.0,40100,1000,1000,–,–,–,300,298,–,–,–,19.1,19.0,9.52,36.1,36.5,–,–,–,66.0,68.3,39.7,–,–,–,–,–,4.17,–,45.6,–,–,6450.0,14800.0,12900.0,401.0,162.0,1720.0,1080.0,63.8,–,–,–,12700.0,37900.0,–,72300,195.0,–,–,2430.0,7240.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,78.0,965,2790,3100,,4.17,45.6,NS,S,C,C,2950
