member_ID,start_node,end_node,member_length,member_type,radial_tab
BE01,P01,P17,2000.0,W,0
BE02,P17,P03,2000.0,W,0
BE03,P03,P05,2000.0,W,0
BE04,P08,P07,2000.0,W,0
BE05,P07,P06,2000.0,W,0
BE06,P06,P04,2000.0,W,0
BE07,P09,P10,2000.0,W,0
BE08,P10,P11,2000.0,W,0
BE09,P11,P12,2000.0,W,0
BE10,P13,P14,2000.0,W,0
BE11,P14,P15,2000.0,W,0
BE12,P15,P16,2000.0,W,0
BE13,P05,P02,2000.0,W,0
BE14,P02,P18,2000.0,W,0
BE15,P18,P19,2000.0,W,0
BE16,P04,P20,2000.0,W,0
BE17,P20,P21,2000.0,W,0
BE18,P21,P22,2000.0,W,0
BE19,P12,P23,2000.0,W,0
BE20,P23,P24,2000.0,W,0
BE21,P24,P25,2000.0,W,0
BE22,P16,P26,2000.0,W,0
BE23,P26,P27,2000.0,W,0
BE24,P27,P28,2000.0,W,0
BR01,P01,P07,2828.43,W,0
BR02,P17,P08,2828.43,W,0
BR03,P08,P10,2828.43,W,0
BR04,P07,P09,2828.43,W,0
BR05,P09,P14,2828.43,W,0
BR06,P10,P13,2828.43,W,0
BR07,P17,P06,2828.43,W,0
BR08,P03,P07,2828.43,W,0
BR09,P07,P11,2828.43,W,0
BR10,P06,P10,2828.43,W,0
BR11,P10,P15,2828.43,W,0
BR12,P11,P14,2828.43,W,0
BR13,P03,P04,2828.43,W,0
BR14,P05,P06,2828.43,W,0
BR15,P06,P12,2828.43,W,0
BR16,P04,P11,2828.43,W,0
BR17,P11,P16,2828.43,W,0
BR18,P12,P15,2828.43,W,0
BR19,P05,P20,2828.43,W,0
BR20,P02,P04,2828.43,W,0
BR21,P04,P23,2828.43,W,0
BR22,P20,P12,2828.43,W,0
BR23,P12,P26,2828.43,W,0
BR24,P23,P16,2828.43,W,0
BR25,P02,P21,2828.43,W,0
BR26,P18,P20,2828.43,W,0
BR27,P20,P24,2828.43,W,0
BR28,P21,P23,2828.43,W,0
BR29,P23,P27,2828.43,W,0
BR30,P24,P26,2828.43,W,0
BR31,P18,P22,2828.43,W,0
BR32,P19,P21,2828.43,W,0
BR33,P21,P25,2828.43,W,0
BR34,P22,P24,2828.43,W,0
BR35,P24,P28,2828.43,W,0
BR36,P25,P27,2828.43,W,0
CO01,P01,P08,2000.0,W,0
CO02,P08,P09,2000.0,W,0
CO03,P09,P13,2000.0,W,0
CO04,P17,P07,2000.0,W,0
CO05,P07,P10,2000.0,W,0
CO06,P10,P14,2000.0,W,0
CO07,P03,P06,2000.0,W,0
CO08,P06,P11,2000.0,W,0
CO09,P11,P15,2000.0,W,0
CO10,P05,P04,2000.0,W,0
CO11,P04,P12,2000.0,W,0
CO12,P12,P16,2000.0,W,0
CO13,P02,P20,2000.0,W,0
CO14,P20,P23,2000.0,W,0
CO15,P23,P26,2000.0,W,0
CO16,P18,P21,2000.0,W,0
CO17,P21,P24,2000.0,W,0
CO18,P24,P27,2000.0,W,0
CO19,P19,P22,2000.0,W,0
CO20,P22,P25,2000.0,W,0
CO21,P25,P28,2000.0,W,0
