node_ID,x_coord,y_coord,z_coord,isSupport
P01,-3000,0,0,1
P02,5000,0,0,0
P03,1000,0,0,0
P04,3000,0,2000,0
P05,3000,0,0,0
P06,1000,0,2000,0
P07,-1000,0,2000,0
P08,-3000,0,2000,0
P09,-3000,0,4000,0
P10,-1000,0,4000,0
P11,1000,0,4000,0
P12,3000,0,4000,0
P13,-3000,0,6000,0
P14,-1000,0,6000,0
P15,1000,0,6000,0
P16,3000,0,6000,0
P17,-1000,0,0,0
P18,7000,0,0,0
P19,9000,0,0,1
P20,5000,0,2000,0
P21,7000,0,2000,0
P22,9000,0,2000,0
P23,5000,0,4000,0
P24,7000,0,4000,0
P25,9000,0,4000,0
P26,5000,0,6000,0
P27,7000,0,6000,0
P28,9000,0,6000,0
